011002,札幌市,さっぽろし
011011,札幌市中央区,さっぽろしちゅうおうく
011029,札幌市北区,さっぽろしきたく
011037,札幌市東区,さっぽろしひがしく
011045,札幌市白石区,さっぽろししろいしく
011053,札幌市豊平区,さっぽろしとよひらく
011061,札幌市南区,さっぽろしみなみく
011070,札幌市西区,さっぽろしにしく
011088,札幌市厚別区,さっぽろしあつべつく
011096,札幌市手稲区,さっぽろしていねく
011100,札幌市清田区,さっぽろしきよたく
041009,仙台市,せんだいし
041017,仙台市青葉区,せんだいしあおばく
041025,仙台市宮城野区,せんだいしみやぎのく
041033,仙台市若林区,せんだいしわかばやしく
041041,仙台市太白区,せんだいしたいはくく
041050,仙台市泉区,せんだいしいずみく
111007,さいたま市,さいたまし
111015,さいたま市西区,さいたましにしく
111023,さいたま市北区,さいたましきたく
111031,さいたま市大宮区,さいたましおおみやく
111040,さいたま市見沼区,さいたましみぬまく
111058,さいたま市中央区,さいたましちゅうおうく
111066,さいたま市桜区,さいたましさくらく
111074,さいたま市浦和区,さいたましうらわく
111082,さいたま市南区,さいたましみなみく
111091,さいたま市緑区,さいたましみどりく
111104,さいたま市岩槻区,さいたましいわつきく
121002,千葉市,ちばし
121011,千葉市中央区,ちばしちゅうおうく
121029,千葉市花見川区,ちばしはなみがわく
121037,千葉市稲毛区,ちばしいなげく
121045,千葉市若葉区,ちばしわかばく
121053,千葉市緑区,ちばしみどりく
121061,千葉市美浜区,ちばしみはまく
141003,横浜市,よこはまし
141011,横浜市鶴見区,よこはましつるみく
141020,横浜市神奈川区,よこはましかながわく
141038,横浜市西区,よこはましにしく
141046,横浜市中区,よこはましなかく
141054,横浜市南区,よこはましみなみく
141062,横浜市保土ケ谷区,よこはましほどがやく
141071,横浜市磯子区,よこはましいそごく
141089,横浜市金沢区,よこはましかなざわく
141097,横浜市港北区,よこはましこうほくく
141101,横浜市戸塚区,よこはましとつかく
141119,横浜市港南区,よこはましこうなんく
141127,横浜市旭区,よこはましあさひく
141135,横浜市緑区,よこはましみどりく
141143,横浜市瀬谷区,よこはましせやく
141151,横浜市栄区,よこはましさかえく
141160,横浜市泉区,よこはましいずみく
141178,横浜市青葉区,よこはましあおばく
141186,横浜市都筑区,よこはましつづきく
141305,川崎市,かわさきし
141313,川崎市川崎区,かわさきしかわさきく
141321,川崎市幸区,かわさきしさいわいく
141330,川崎市中原区,かわさきしなかはらく
141348,川崎市高津区,かわさきしたかつく
141356,川崎市多摩区,かわさきしたまく
141364,川崎市宮前区,かわさきしみやまえく
141372,川崎市麻生区,かわさきしあさおく
141500,相模原市,さがみはらし
141518,相模原市緑区,さがみはらしみどりく
141526,相模原市中央区,さがみはらしちゅうおうく
141534,相模原市南区,さがみはらしみなみく
151009,新潟市,にいがたし
151017,新潟市北区,にいがたしきたく
151025,新潟市東区,にいがたしひがしく
151033,新潟市中央区,にいがたしちゅうおうく
151041,新潟市江南区,にいがたしこうなんく
151050,新潟市秋葉区,にいがたしあきはく
151068,新潟市南区,にいがたしみなみく
151076,新潟市西区,にいがたしにしく
151084,新潟市西蒲区,にいがたしにしかんく
221007,静岡市,しずおかし
221015,静岡市葵区,しずおかしあおいく
221023,静岡市駿河区,しずおかしするがく
221031,静岡市清水区,しずおかししみずく
221309,浜松市,はままつし
221317,浜松市中区,はままつしなかく
221325,浜松市東区,はままつしひがしく
221333,浜松市西区,はままつしにしく
221341,浜松市南区,はままつしみなみく
221350,浜松市北区,はままつしきたく
221368,浜松市浜北区,はままつしはまきたく
221376,浜松市天竜区,はままつしてんりゅうく
231002,名古屋市,なごやし
231011,名古屋市千種区,なごやしちくさく
231029,名古屋市東区,なごやしひがしく
231037,名古屋市北区,なごやしきたく
231045,名古屋市西区,なごやしにしく
231053,名古屋市中村区,なごやしなかむらく
231061,名古屋市中区,なごやしなかく
231070,名古屋市昭和区,なごやししょうわく
231088,名古屋市瑞穂区,なごやしみずほく
231096,名古屋市熱田区,なごやしあつたく
231100,名古屋市中川区,なごやしなかがわく
231118,名古屋市港区,なごやしみなとく
231126,名古屋市南区,なごやしみなみく
231134,名古屋市守山区,なごやしもりやまく
231142,名古屋市緑区,なごやしみどりく
231151,名古屋市名東区,なごやしめいとうく
231169,名古屋市天白区,なごやしてんぱくく
261009,京都市,きょうとし
261017,京都市北区,きょうとしきたく
261025,京都市上京区,きょうとしかみぎょうく
261033,京都市左京区,きょうとしさきょうく
261041,京都市中京区,きょうとしなかぎょうく
261050,京都市東山区,きょうとしひがしやまく
261068,京都市下京区,きょうとししもぎょうく
261076,京都市南区,きょうとしみなみく
261084,京都市右京区,きょうとしうきょうく
261092,京都市伏見区,きょうとしふしみく
261106,京都市山科区,きょうとしやましなく
261114,京都市西京区,きょうとしにしきょうく
271004,大阪市,おおさかし
271021,大阪市都島区,おおさかしみやこじまく
271039,大阪市福島区,おおさかしふくしまく
271047,大阪市此花区,おおさかしこのはなく
271063,大阪市西区,おおさかしにしく
271071,大阪市港区,おおさかしみなとく
271080,大阪市大正区,おおさかしたいしょうく
271098,大阪市天王寺区,おおさかしてんのうじく
271110,大阪市浪速区,おおさかしなにわく
271136,大阪市西淀川区,おおさかしにしよどがわく
271144,大阪市東淀川区,おおさかしひがしよどがわく
271152,大阪市東成区,おおさかしひがしなりく
271161,大阪市生野区,おおさかしいくのく
271179,大阪市旭区,おおさかしあさひく
271187,大阪市城東区,おおさかしじょうとうく
271195,大阪市阿倍野区,おおさかしあべのく
271209,大阪市住吉区,おおさかしすみよしく
271217,大阪市東住吉区,おおさかしひがしすみよしく
271225,大阪市西成区,おおさかしにしなりく
271233,大阪市淀川区,おおさかしよどがわく
271241,大阪市鶴見区,おおさかしつるみく
271250,大阪市住之江区,おおさかしすみのえく
271268,大阪市平野区,おおさかしひらのく
271276,大阪市北区,おおさかしきたく
271284,大阪市中央区,おおさかしちゅうおうく
271403,堺市,さかいし
271411,堺市堺区,さかいしさかいく
271420,堺市中区,さかいしなかく
271438,堺市東区,さかいしひがしく
271446,堺市西区,さかいしにしく
271454,堺市南区,さかいしみなみく
271462,堺市北区,さかいしきたく
271471,堺市美原区,さかいしみはらく
281000,神戸市,こうべし
281018,神戸市東灘区,こうべしひがしなだく
281026,神戸市灘区,こうべしなだく
281051,神戸市兵庫区,こうべしひょうごく
281069,神戸市長田区,こうべしながたく
281077,神戸市須磨区,こうべしすまく
281085,神戸市垂水区,こうべしたるみく
281093,神戸市北区,こうべしきたく
281107,神戸市中央区,こうべしちゅうおうく
281115,神戸市西区,こうべしにしく
331007,岡山市,おかやまし
331015,岡山市北区,おかやましきたく
331023,岡山市中区,おかやましなかく
331031,岡山市東区,おかやましひがしく
331040,岡山市南区,おかやましみなみく
341002,広島市,ひろしまし
341011,広島市中区,ひろしましなかく
341029,広島市東区,ひろしましひがしく
341037,広島市南区,ひろしましみなみく
341045,広島市西区,ひろしましにしく
341053,広島市安佐南区,ひろしましあさみなみく
341061,広島市安佐北区,ひろしましあさきたく
341070,広島市安芸区,ひろしましあきく
341088,広島市佐伯区,ひろしましさえきく
401005,北九州市,きたきゅうしゅうし
401013,北九州市門司区,きたきゅうしゅうしもじく
401030,北九州市若松区,きたきゅうしゅうしわかまつく
401056,北九州市戸畑区,きたきゅうしゅうしとばたく
401064,北九州市小倉北区,きたきゅうしゅうしこくらきたく
401072,北九州市小倉南区,きたきゅうしゅうしこくらみなみく
401081,北九州市八幡東区,きたきゅうしゅうしやはたひがしく
401099,北九州市八幡西区,きたきゅうしゅうしやはたにしく
401307,福岡市,ふくおかし
401315,福岡市東区,ふくおかしひがしく
401323,福岡市博多区,ふくおかしはかたく
401331,福岡市中央区,ふくおかしちゅうおうく
401340,福岡市南区,ふくおかしみなみく
401358,福岡市西区,ふくおかしにしく
401366,福岡市城南区,ふくおかしじょうなんく
401374,福岡市早良区,ふくおかしさわらく
431001,熊本市,くまもとし
431010,熊本市中央区,くまもとしちゅうおうく
431028,熊本市東区,くまもとしひがしく
431036,熊本市西区,くまもとしにしく
431044,熊本市南区,くまもとしみなみく
431052,熊本市北区,くまもとしきたく
